Date,mag,lon,lat,depth
1/31/2002,4,87.884,29.8346,37
2/3/2002,3.7,81.5037,28.775,33
3/7/2002,4,84.3599,29.7145,77.8
3/9/2002,4,80.027,29.9106,34.4
3/21/2002,4.2,87.9623,29.9778,37
3/23/2002,4.6,88.0468,29.9535,37
3/26/2002,4,87.9323,30.1336,37
3/27/2002,4,88.0574,29.8728,37
3/27/2002,3.7,87.7799,29.7541,37
3/29/2002,4,87.9136,29.9251,37
3/31/2002,4.3,87.9536,29.8607,37
4/2/2002,4.2,86.9501,29.177,5.5
4/2/2002,4.2,87.0569,29.2856,35
4/9/2002,3.9,88.039,30.0861,37
4/9/2002,3.7,88.1301,30.0988,37
5/2/2002,4.1,86.6271,27.6048,35
5/3/2002,4,86.5522,30.9682,26
5/3/2002,3.8,88.1286,27.2114,36
5/5/2002,3.6,84.008,30.6992,26
5/8/2002,3.8,86.5244,28.5384,100
5/9/2002,4.4,87.935,29.8541,37
5/11/2002,3.9,87.1769,30.9341,35
5/22/2002,4.1,81.9775,29.3263,31
5/27/2002,4,85.5429,31.4591,35
6/2/2002,4.2,83.5913,28.2015,15.5
6/4/2002,5.4,81.4251,30.496,16.2
6/4/2002,4.5,81.405,30.4564,36
6/4/2002,3.8,81.5646,30.353,33
6/4/2002,3.8,81.6304,30.219,33
6/4/2002,3.7,81.0317,30.0667,35
6/5/2002,4.2,81.322,30.4518,36
6/5/2002,3.9,81.4365,30.5003,10
6/5/2002,3.6,81.6558,30.4019,36
6/6/2002,4.5,81.3273,30.3942,36
6/6/2002,3.7,81.3142,30.602,36
6/6/2002,3.6,81.8394,30.3496,21
6/7/2002,3.8,81.6619,30.352,36
6/9/2002,4.2,81.3967,30.4448,36
6/11/2002,3.7,81.4704,30.5952,36
6/12/2002,3.9,81.657,30.3225,10
6/13/2002,3.8,81.6635,30.2572,21
6/16/2002,4.2,88.0528,29.8738,6.3
7/2/2002,3.9,84.5264,26.7297,35
7/9/2002,4.5,88.0161,29.9702,35
7/16/2002,3.7,87.8195,27.7759,48.1
