Date,Magnitude,Longitude,Latitude,Depth
8/13/2008 14:49,3.7,79.9899,29.9451,16
8/16/2008 19:16,3.6,77.7884,30.0773,27.9
8/19/2008 10:54,3.9,80.0563,29.981,16
9/14/2008 22:11,3.8,76.3712,32.6101,14
10/21/2008 15:09,4.4,77.3761,31.5927,9
12/2/2008 23:24,4,80.1135,34.8047,35
12/31/2008 15:46,3.7,79.8558,31.9154,35
1/9/2009 12:40,3.9,78.3587,31.784,23.8
1/31/2009 3:07,4,76.4946,32.5494,14
3/3/2009 23:45,3.7,78.3889,33.6527,35
5/15/2009 18:42,3.7,79.3177,30.5649,17
6/4/2009 13:50,3.9,76.0685,32.8849,16.4
7/17/2009 11:07,4.5,76.718,32.529,14
8/27/2009 16:54,3.6,80.0401,29.8642,16
9/21/2009 9:43,4.7,79.0312,30.8933,57.3
10/3/2009 5:20,4.5,79.8015,29.9476,20.6
11/25/2009 17:05,3.9,79.2211,33.0913,35
12/11/2009 6:50,3.6,77.9232,35.0521,35
1/5/2010 15:04,3.6,80.1697,30.0341,16
1/11/2010 6:11,3.8,76.1117,33.1127,28
1/12/2010 10:47,3.6,77.601,35.1643,21
2/22/2010 17:23,4.6,80.0846,30.0106,16.5
2/26/2010 1:34,3.8,77.4368,34.7862,35
3/25/2010 2:33,3.7,76.135,32.8696,28
4/10/2010 12:26,3.7,76.5389,32.8527,15
5/1/2010 22:36,4.4,80.008,30.0667,43.5
5/3/2010 17:15,3.9,78.2465,30.3052,25.8
5/28/2010 7:25,4.7,77.8568,31.2301,26.4
6/4/2010 11:58,3.9,76.2487,33.2274,43.5
7/10/2010 3:16,4.3,79.6149,30.0092,6.6
8/14/2010 1:04,3.6,78.8336,34.3511,35
8/14/2010 3:08,3.8,79.0133,34.1803,35
10/6/2010 2:54,3.7,76.1242,33.0938,28
2/6/2011 16:16,3.6,76.6033,31.8149,11
2/14/2011 6:08,3.8,77.2664,35.0808,21
3/14/2011 9:01,3.9,79.1766,30.5428,24
4/28/2011 9:53,4.2,76.6279,33.1807,2.5
5/13/2011 14:40,3.6,78.2231,31.0881,9.9
6/20/2011 6:27,4.8,79.3192,30.5513,26.6
7/10/2011 0:26,3.7,78.3812,34.1767,35
7/28/2011 18:42,4.5,76.0834,33.327,26
7/28/2011 22:58,3.7,76.0155,33.3374,26
8/13/2011 22:53,3.7,76.691,32.7361,15
8/14/2011 2:25,3.7,76.6123,32.7517,15
8/23/2011 1:22,5,76.8482,33.068,23.9
9/7/2011 0:55,3.7,76.3486,31.3205,13
10/22/2011 21:07,3.9,76.0532,33.0436,40.2
